card_set,total_cards,signed_cards,known_autos,unknown_autos,total_known_signed_cards
"10k autographs",62,62,62,0,2563
"10k autographs black",56,56,56,0,56
"10k autographs holo silver",15,15,15,0,15
"10k autographs platinum",45,45,45,0,395
"10k autographs rose gold",21,21,21,0,504
"10k autographs sapphire",24,24,24,0,235
"10k autographs white gold",9,9,9,0,441
"1989 score tribute",2,0,0,0,0
"1991 score tribute",1,0,0,0,0
"1991 throwback rookie",10,0,0,0,0
"1991 throwback rookie gold",10,0,0,0,0
"1991 throwback rookie green",10,0,0,0,0
"1991 throwback rookie purple",10,0,0,0,0
"1991 throwback rookie red",10,0,0,0,0
"1992 elite",50,0,0,0,0
"1992 elite aspirations die-cut",50,0,0,0,0
"1992 elite black",50,0,0,0,0
"1992 elite gold",50,0,0,0,0
"1992 elite rookies",50,0,0,0,0
"1992 elite rookies aspirations die-cut",50,0,0,0,0
"1992 elite rookies black",50,0,0,0,0
"1992 elite rookies gold",50,0,0,0,0
"1992 elite rookies status die-cut",50,0,0,0,0
"1992 elite rookies status die-cut green",50,0,0,0,0
"1992 elite status die-cut",50,0,0,0,0
"1992 elite status die-cut green",50,0,0,0,0
"1992 pacific",20,0,0,0,0
"1992 pacific blue",20,0,0,0,0
"1992 pacific gold",20,0,0,0,0
"1992 pacific red",20,0,0,0,0
"1992 pacific silver",20,0,0,0,0
"1992 pacific touchdown",20,0,0,0,0
"1992 throwback rookie",10,0,0,0,0
"1992 throwback rookie artist's proof",10,0,0,0,0
"1992 throwback rookie end zone",10,0,0,0,0
"1992 throwback rookie first down",10,0,0,0,0
"1992 throwback rookie gem masters",10,0,0,0,0
"1992 throwback rookie gold",10,0,0,0,0
"1992 throwback rookie gold zone",10,0,0,0,0
"1992 throwback rookie green",10,0,0,0,0
"1992 throwback rookie orange",10,0,0,0,0
"1992 throwback rookie pink",10,0,0,0,0
"1992 throwback rookie purple",10,0,0,0,0
"1992 throwback rookie red",10,0,0,0,0
"1992 throwback rookie red zone",10,0,0,0,0
"1992 throwback rookie showcase",10,0,0,0,0
"1994 pacific",20,0,0,0,0
"1994 pacific blue",20,0,0,0,0
"1994 pacific gold",20,0,0,0,0
"1994 pacific red",20,0,0,0,0
"1994 pacific silver",20,0,0,0,0
"1994 pacific touchdown",20,0,0,0,0
"1997 limited exposure",60,0,0,0,0
"1997 limited exposure limited edition",60,0,0,0,0
"1998 contenders retro rookie clear ticket",8,0,0,0,0
"1998 contenders tribute autographs",1,1,1,0,25
"1998 contenders tribute autographs gold vinyl",1,1,1,0,1
"1998 retro rookie clear ticket",7,0,0,0,0
"1999 contenders finesse gold",25,0,0,0,0
"1999 contenders power blue",25,0,0,0,0
"1999 contenders speed red",25,0,0,0,0
"1999 contenders toughness black",25,0,0,0,0
"1999 contenders tribute autographs",3,3,3,0,75
"1999 contenders tribute autographs gold vinyl",3,3,3,0,3
"1999 passing the torch",12,0,0,0,0
"1999 passing the torch auto",2,2,0,2,0
"1999 passing the torch dual",4,0,0,0,0
"1999 passing the torch dual autos",8,8,0,8,0
"2000 contenders throwback rookie autographs",10,10,10,0,250
"2000 contenders throwback rookie autographs gold vinyl",10,10,10,0,10
"2000 contenders tribute autographs",1,1,1,0,25
"2000 contenders tribute autographs gold vinyl",1,1,1,0,1
"2000 elite",50,0,0,0,0
"2000 elite aspirations die-cut",50,0,0,0,0
"2000 elite black",50,0,0,0,0
"2000 elite gold",50,0,0,0,0
"2000 elite rookies",50,0,0,0,0
"2000 elite rookies aspirations die-cut",50,0,0,0,0
"2000 elite rookies black",50,0,0,0,0
"2000 elite rookies gold",50,0,0,0,0
"2000 elite rookies status die-cut",50,0,0,0,0
"2000 elite rookies status die-cut red",50,0,0,0,0
"2000 elite status die-cut",50,0,0,0,0
"2000 elite status die-cut red",50,0,0,0,0
"2000 limited tribute rookies",60,0,0,0,0
"2000 limited tribute rookies limited edition",60,0,0,0,0
"2000 limited tribute vets",40,0,0,0,0
"2000 limited tribute vets limited edition",40,0,0,0,0
"2000 rookie ticket rps",20,0,0,0,0
"2000 rookie ticket rps gold",20,0,0,0,0
"2000 rookie ticket rps platinum",20,0,0,0,0
"2001 contenders throwback rookie autographs",10,10,10,0,250
"2001 contenders throwback rookie autographs gold vinyl",10,10,10,0,10
"2001 contenders tribute autographs",1,1,1,0,25
"2001 contenders tribute autographs gold vinyl",1,1,1,0,1
"2001 elite",50,0,0,0,0
"2001 elite aspirations die-cut",50,0,0,0,0
"2001 elite black",50,0,0,0,0
"2001 elite gold",50,0,0,0,0
"2001 elite rookies",50,0,0,0,0
"2001 elite rookies aspirations die-cut",50,0,0,0,0
"2001 elite rookies black",50,0,0,0,0
"2001 elite rookies gold",50,0,0,0,0
"2001 elite rookies status die-cut",50,0,0,0,0
"2001 elite rookies status die-cut red",49,0,0,0,0
"2001 elite status die-cut",50,0,0,0,0
"2001 elite status die-cut red",50,0,0,0,0
"2001 rookie ticket rps",20,0,0,0,0
"2001 rookie ticket rps gold",20,0,0,0,0
"2001 rookie ticket rps platinum",20,0,0,0,0
"2001 score select tribute",1,0,0,0,0
"2002 contenders throwback rookie autographs",13,13,13,0,325
"2002 contenders throwback rookie autographs gold vinyl",13,13,13,0,13
"2002 contenders tribute autographs",4,4,4,0,100
"2002 contenders tribute autographs gold vinyl",4,4,4,0,4
"2002 elite",50,0,0,0,0
"2002 elite aspirations die-cut",50,0,0,0,0
"2002 elite black",50,0,0,0,0
"2002 elite gold",50,0,0,0,0
"2002 elite rookies",50,0,0,0,0
"2002 elite rookies aspirations die-cut",50,0,0,0,0
"2002 elite rookies black",50,0,0,0,0
"2002 elite rookies gold",50,0,0,0,0
"2002 elite rookies status die-cut",49,0,0,0,0
"2002 elite rookies status die-cut red",50,0,0,0,0
"2002 elite status die-cut",50,0,0,0,0
"2002 elite status die-cut red",50,0,0,0,0
"2002 honors rookies",30,0,0,0,0
"2002 honors rookies black",30,0,0,0,0
"2002 honors rookies blue",30,0,0,0,0
"2002 honors rookies gold",30,0,0,0,0
"2002 honors rookies green",30,0,0,0,0
"2002 honors rookies orange",30,0,0,0,0
"2002 honors rookies purple",30,0,0,0,0
"2002 honors rookies red",30,0,0,0,0
"2002 honors rookies signatures",27,27,27,0,825
"2002 honors rookies signatures black",27,27,27,0,27
"2002 honors rookies signatures blue",27,27,27,0,226
"2002 honors rookies signatures gold",27,27,27,0,84
"2002 honors rookies signatures green",27,27,27,0,560
"2002 honors rookies signatures orange",27,27,27,0,375
"2002 honors rookies signatures purple",22,22,22,0,183
"2002 honors rookies signatures red",27,27,27,0,151
"2002 rookie ticket rps",18,0,0,0,0
"2002 rookie ticket rps gold",18,0,0,0,0
"2002 rookie ticket rps platinum",18,0,0,0,0
"2003 contenders throwback rookie autographs",13,13,13,0,325
"2003 contenders throwback rookie autographs gold vinyl",13,13,13,0,13
"2003 contenders tribute autographs",2,2,2,0,50
"2003 contenders tribute autographs gold vinyl",2,2,2,0,2
"2003 elite",50,0,0,0,0
"2003 elite aspirations die-cut",50,0,0,0,0
"2003 elite black",50,0,0,0,0
"2003 elite gold",50,0,0,0,0
"2003 elite rookies",50,0,0,0,0
"2003 elite rookies aspirations die-cut",50,0,0,0,0
"2003 elite rookies black",50,0,0,0,0
"2003 elite rookies gold",50,0,0,0,0
"2003 elite rookies status die-cut",50,0,0,0,0
"2003 elite rookies status die-cut green",50,0,0,0,0
"2003 elite status die-cut",50,0,0,0,0
"2003 elite status die-cut green",50,0,0,0,0
"2003 honors rookies",30,0,0,0,0
"2003 honors rookies black",30,0,0,0,0
"2003 honors rookies blue",30,0,0,0,0
"2003 honors rookies gold",30,0,0,0,0
"2003 honors rookies green",30,0,0,0,0
"2003 honors rookies orange",30,0,0,0,0
"2003 honors rookies purple",30,0,0,0,0
"2003 honors rookies red",30,0,0,0,0
"2003 honors rookies signatures",26,26,26,0,986
"2003 honors rookies signatures black",30,30,30,0,30
"2003 honors rookies signatures blue",26,26,26,0,330
"2003 honors rookies signatures gold",30,30,30,0,124
"2003 honors rookies signatures green",26,26,26,0,730
"2003 honors rookies signatures orange",26,26,26,0,530
"2003 honors rookies signatures purple",29,29,29,0,405
"2003 honors rookies signatures red",28,28,28,0,215
"2003 throwback rookie",10,0,0,0,0
"2003 throwback rookie artist's proof",10,0,0,0,0
"2003 throwback rookie end zone",10,0,0,0,0
"2003 throwback rookie first down",10,0,0,0,0
"2003 throwback rookie gem masters",10,0,0,0,0
"2003 throwback rookie gold",10,0,0,0,0
"2003 throwback rookie gold zone",10,0,0,0,0
"2003 throwback rookie green",10,0,0,0,0
"2003 throwback rookie orange",10,0,0,0,0
"2003 throwback rookie pink",10,0,0,0,0
"2003 throwback rookie red",10,0,0,0,0
"2003 throwback rookie red zone",10,0,0,0,0
"2003 throwback rookie showcase",10,0,0,0,0
"2004 contenders throwback rookie autographs",17,17,17,0,425
"2004 contenders throwback rookie autographs gold vinyl",17,17,17,0,17
"2004 contenders tribute autographs",2,2,2,0,50
"2004 contenders tribute autographs gold vinyl",2,2,2,0,2
"2004 honors rookies",30,0,0,0,0
"2004 honors rookies black",30,0,0,0,0
"2004 honors rookies blue",30,0,0,0,0
"2004 honors rookies gold",30,0,0,0,0
"2004 honors rookies green",30,0,0,0,0
"2004 honors rookies orange",30,0,0,0,0
"2004 honors rookies purple",30,0,0,0,0
"2004 honors rookies red",30,0,0,0,0
"2004 honors rookies signatures",28,28,28,0,850
"2004 honors rookies signatures black",29,29,29,0,29
"2004 honors rookies signatures blue",29,29,29,0,235
"2004 honors rookies signatures gold",29,29,29,0,88
"2004 honors rookies signatures green",29,29,29,0,585
"2004 honors rookies signatures orange",29,29,29,0,390
"2004 honors rookies signatures purple",26,26,26,0,220
"2004 honors rookies signatures red",29,29,29,0,157
"2004 limited tribute rookies",60,0,0,0,0
"2004 limited tribute rookies limited edition",60,0,0,0,0
"2004 limited tribute vets",40,0,0,0,0
"2004 limited tribute vets limited edition",40,0,0,0,0
"2004 score tribute",3,0,0,0,0
"2005 contenders tribute autographs",2,2,2,0,50
"2005 contenders tribute autographs gold vinyl",2,2,2,0,2
"2005 limited tribute vets",40,0,0,0,0
"2005 limited tribute vets limited edition",40,0,0,0,0
"2006 contenders tribute autographs",1,1,1,0,25
"2006 contenders tribute autographs gold vinyl",1,1,1,0,1
"2007 contenders tribute autographs",1,1,1,0,25
"2007 contenders tribute autographs gold vinyl",1,1,1,0,1
"2009 contenders tribute autographs",1,1,1,0,25
"2009 contenders tribute autographs gold vinyl",1,1,1,0,1
"2010 contenders tribute autographs",3,3,3,0,75
"2010 contenders tribute autographs gold vinyl",3,3,3,0,3
"2011 contenders throwback rookie autographs",10,10,10,0,250
"2011 contenders throwback rookie autographs gold vinyl",10,10,10,0,10
"2011 contenders tribute autographs",3,3,3,0,75
"2011 contenders tribute autographs gold vinyl",3,3,3,0,3
"2012 contenders throwback rookie autographs",13,13,13,0,325
"2012 contenders throwback rookie autographs gold vinyl",12,12,12,0,12
"2012 contenders tribute autographs",7,7,7,0,175
"2012 contenders tribute autographs gold vinyl",7,7,7,0,7
"2013 contenders throwback rookie autographs",13,13,13,0,325
"2013 contenders throwback rookie autographs gold vinyl",13,13,13,0,13
"2013 national treasures football - notable nicknames",1,0,0,0,0
"2014 contenders throwback rookie autographs",15,15,15,0,375
"2014 contenders throwback rookie autographs gold vinyl",15,15,15,0,15
"2014 contenders tribute autographs",1,1,1,0,25
"2014 contenders tribute autographs gold vinyl",1,1,1,0,1
"2014 immaculate premium patches autographs",1,1,0,1,0
"2014 immaculate premium patches autographs gold",1,1,0,1,0
"2014 immaculate premium patches autographs platinum",1,1,0,1,0
"2014 panini flawless football - greats autographs",1,1,1,0,25
"2014 panini flawless football - greats autographs emerald",1,1,1,0,5
"2014 panini flawless football - greats autographs gold",1,1,1,0,10
"2014 panini flawless football - greats autographs platinum",1,1,1,0,1
"2014 panini flawless football - greats autographs ruby",1,1,1,0,15
"2014 panini immaculate collection football - rookie patches autographs football star variation",1,1,1,0,25
"2014 retro series",30,0,0,0,0
"2014 retro series black pandora",30,0,0,0,0
"2014 retro series dragon",30,0,0,0,0
"2014 retro series gold",30,0,0,0,0
"2014 retro series gold vinyl",30,0,0,0,0
"2014 retro series ice",30,0,0,0,0
"2014 retro series purple stars",30,0,0,0,0
"2015 contenders tribute autographs",1,1,1,0,25
"2015 contenders tribute autographs gold vinyl",1,1,1,0,1
"2015 immaculate collegiate",3,0,0,0,0
"2015 national treasures football - notable nicknames",1,0,0,0,0
"2015 panini flawless football - greats patches dual autographs emerald",1,1,1,0,2
"2015 panini flawless football - greats patches dual autographs platinum",1,1,1,0,1
"2015 panini immaculate collegiate - premium patches autographs",1,1,0,1,0
"2015 panini immaculate collegiate - premium patches autographs gold",1,1,0,1,0
"2015 panini immaculate collegiate - premium patches autographs platinum",1,1,0,1,0
"2015 super bowl signatures",3,3,0,3,0
