program,total_cards,signed_cards,known_autos,unknown_autos,total_known_signed_cards
absolute,54047,12270,11696,574,470135
black,22193,10221,10165,56,314138
certified,43847,13475,13475,0,544491
chronicles,23325,6418,5874,544,213260
"chronicles draft picks cfb",37614,13580,10393,3187,249579
"classics premium edition",16678,2757,2506,251,29426
"clearly donruss",11886,2811,2339,472,94281
contenders,36812,2975,2487,488,54553
"contenders draft picks",17792,1445,1237,208,10265
"contenders optic",29214,12653,11515,1138,248852
donruss,52392,5876,4316,1560,179509
"donruss series ii",284,100,0,100,0
elements,8459,3619,3590,29,125311
elite,36882,5796,4566,1230,217609
eminence,890,672,672,0,2843
encased,11770,4783,4636,147,76071
encore,4532,359,359,0,25688
flawless,25551,10581,9379,1202,86724
"flawless collegiate",11082,6264,5446,818,54068
"gold standard",23287,7044,7042,2,292575
honors,9962,1241,1241,0,13643
illusions,41205,10578,10384,194,411229
"immaculate collection",21573,5318,5036,282,117585
"immaculate collegiate",13153,8269,8241,28,162152
impeccable,17614,8845,8657,188,151293
legacy,29539,6372,6010,362,208925
limited,17157,7244,7244,0,223376
luminance,20304,6136,4458,1678,264791
mosaic,90884,8666,5789,2877,141264
"mosaic series ii",300,0,0,0,0
"national treasures",50020,20446,19554,892,269127
"national treasures collegiate",20180,12849,12088,761,246101
obsidian,33383,9123,8545,578,342035
one,7250,6311,5684,627,138338
optic,60730,7675,6965,710,273757
origins,23764,6852,6428,424,155340
phoenix,63223,12319,11002,1317,306702
photogenic,4074,1144,973,171,17061
"plates and patches",7006,1176,1151,25,40367
playbook,19530,8014,7618,396,145705
playoff,10739,1500,827,673,13864
prestige,59432,7378,5998,1380,176280
prizm,102724,10100,8511,1589,261986
"prizm deca",5109,709,594,115,9798
"prizm draft picks",45230,17003,11924,5079,504382
"prizm series 2",1700,0,0,0,0
"rookies and stars",35058,6374,6373,1,290850
score,69847,7028,5508,1520,94995
"score halloween",1047,0,0,0,0
select,118070,18474,17495,979,577059
"select draft picks",16445,3645,2785,860,62398
spectra,62405,17632,17557,75,386744
"totally certified",8706,964,866,98,23538
xr,32142,13501,13490,11,177059
zenith,22007,5382,4745,637,157781
