year,program,total_cards,signed_cards,known_autos,unknown_autos,total_known_signed_cards
2020,absolute,9316,2449,2351,98,81828
2020,black,3993,1905,1905,0,52593
2020,certified,6833,2372,2372,0,91927
2020,chronicles,7162,2030,1874,156,70853
2020,"chronicles draft picks cfb",10281,5202,4535,667,79360
2020,contenders,6210,701,600,101,9675
2020,"contenders draft picks",8625,1161,1037,124,7789
2020,"contenders optic",4556,1794,1608,186,36001
2020,donruss,8031,1194,844,350,31327
2020,"donruss series ii",284,100,0,100,0
2020,elements,2411,1114,1106,8,38389
2020,elite,6418,1238,964,274,48730
2020,encased,3570,1333,1333,0,23356
2020,flawless,6732,2927,2524,403,20030
2020,"flawless collegiate",2237,1048,1048,0,10134
2020,"gold standard",3868,1209,1209,0,45833
2020,honors,4594,657,657,0,5916
2020,illusions,6658,1815,1769,46,59694
2020,"immaculate collection",5476,1621,1611,10,29844
2020,"immaculate collegiate",3315,2139,2139,0,38692
2020,impeccable,3612,1745,1745,0,28072
2020,legacy,6542,1577,1484,93,48727
2020,limited,4057,1815,1815,0,51774
2020,luminance,3338,1028,670,358,47232
2020,mosaic,12355,1031,477,554,2987
2020,"mosaic series ii",300,0,0,0,0
2020,"national treasures",12791,6329,6327,2,73261
2020,"national treasures collegiate",3576,2339,2339,0,38471
2020,obsidian,5454,1529,1529,0,70244
2020,one,1624,1473,1465,8,30201
2020,optic,7588,1614,1389,225,46972
2020,origins,3878,1333,1251,82,25926
2020,phoenix,8051,2041,1908,133,43499
2020,"plates and patches",3048,387,387,0,10818
2020,playbook,5825,2906,2739,167,46215
2020,playoff,4857,692,410,282,6354
2020,prestige,7144,1459,946,513,7317
2020,"prizm draft picks",8630,4238,3120,1118,134342
2020,"prizm series 2",1700,0,0,0,0
2020,"rookies and stars",6613,1123,1123,0,36092
2020,score,11327,1395,1080,315,19714
2020,select,22348,3922,3730,192,99777
2020,spectra,11367,3123,3122,1,64931
2020,xr,10686,4692,4692,0,57503
2020,zenith,1314,441,441,0,10903
2021,absolute,10685,2484,2350,134,96381
2021,black,4501,2096,2092,4,57093
2021,certified,9034,2946,2946,0,106875
2021,chronicles,8475,2406,2194,212,77629
2021,"chronicles draft picks cfb",8387,2854,1858,996,38399
2021,"classics premium edition",8101,1441,1288,153,13152
2021,"clearly donruss",2469,527,379,148,9917
2021,contenders,7407,770,670,100,11993
2021,"contenders draft picks",9167,284,200,84,2476
2021,"contenders optic",6137,2540,2294,246,42370
2021,donruss,11191,1065,770,295,32471
2021,elements,2588,1067,1062,5,40972
2021,elite,6885,1099,825,274,30351
2021,eminence,890,672,672,0,2843
2021,encased,4019,1671,1670,1,25502
2021,flawless,5834,2303,2301,2,21778
2021,"flawless collegiate",2731,1717,1251,466,12245
2021,"gold standard",4492,1410,1409,1,55799
2021,illusions,7847,2181,2150,31,79932
2021,"immaculate collection",5270,1265,1258,7,33522
2021,"immaculate collegiate",3191,2020,2020,0,36149
2021,impeccable,3344,1574,1554,20,26045
2021,legacy,7200,1552,1476,76,49893
2021,limited,4435,1792,1792,0,57786
2021,luminance,3766,1165,812,353,52729
2021,mosaic,18127,1227,747,480,5887
2021,"national treasures",12277,5217,5110,107,71398
2021,"national treasures collegiate",3714,2369,2369,0,44342
2021,obsidian,5864,1698,1694,4,73116
2021,one,2003,1757,1492,265,30849
2021,optic,12512,1662,1464,198,46593
2021,origins,4761,1323,1240,83,27573
2021,phoenix,10093,2488,2278,210,61166
2021,playbook,6320,2476,2369,107,52513
2021,playoff,5882,808,417,391,7510
2021,prestige,11256,1259,979,280,13095
2021,prizm,23786,2986,2451,535,68803
2021,"prizm draft picks",11778,4928,3223,1705,149344
2021,"rookies and stars",8851,1871,1870,1,44748
2021,score,13033,1626,1269,357,21340
2021,select,20240,3622,3443,179,100832
2021,spectra,12886,4048,4037,11,75988
2021,xr,10826,4493,4483,10,57874
2021,zenith,1942,529,529,0,19200
2022,absolute,10885,2696,2569,127,82729
2022,black,4301,1933,1933,0,60265
2022,certified,9911,3389,3389,0,115638
2022,chronicles,7688,1982,1806,176,64778
2022,"chronicles draft picks cfb",8342,2428,2002,426,65169
2022,"classics premium edition",8577,1316,1218,98,16274
2022,"clearly donruss",3157,808,663,145,24715
2022,contenders,6607,540,461,79,10973
2022,"contenders optic",6195,2750,2516,234,53124
2022,donruss,10771,1066,771,295,25386
2022,elements,3460,1438,1422,16,45950
2022,elite,8000,1188,947,241,36895
2022,encased,4181,1779,1633,146,27213
2022,flawless,6505,2730,2396,334,20163
2022,"flawless collegiate",3059,1722,1694,28,16594
2022,"gold standard",4414,1258,1258,0,60644
2022,honors,5368,584,584,0,7727
2022,illusions,8825,2741,2701,40,77811
2022,"immaculate collection",5292,1135,1135,0,27503
2022,"immaculate collegiate",3363,1977,1977,0,41087
2022,impeccable,3356,1747,1741,6,30042
2022,legacy,7910,1752,1673,79,57656
2022,limited,4387,1875,1875,0,53913
2022,luminance,4234,1294,980,314,55849
2022,mosaic,17265,1965,1346,619,27000
2022,"national treasures",12355,4397,4176,221,64539
2022,"national treasures collegiate",3530,2021,2021,0,49978
2022,obsidian,6045,1755,1755,0,79810
2022,one,1800,1518,1518,0,38977
2022,optic,11724,1374,1328,46,55131
2022,origins,4746,1320,1238,82,29310
2022,phoenix,10800,2612,2381,231,58464
2022,playbook,7385,2632,2510,122,46977
2022,prestige,13596,1795,1560,235,55741
2022,prizm,22390,2441,2090,351,66367
2022,"rookies and stars",6745,1656,1656,0,53301
2022,score,16234,1480,1185,295,20850
2022,select,22884,3618,3403,215,114584
2022,"select draft picks",8467,1867,1455,412,27593
2022,spectra,12039,3600,3580,20,76737
2022,xr,10630,4316,4315,1,61682
2022,zenith,6238,1659,1408,251,38498
2023,absolute,11725,2508,2373,135,99414
2023,black,5051,2479,2463,16,75733
2023,certified,9067,2396,2396,0,112960
2023,"chronicles draft picks cfb",10604,3096,1998,1098,66651
2023,"clearly donruss",3106,772,633,139,26327
2023,contenders,7920,543,353,190,9687
2023,"contenders optic",6475,3017,2755,262,63725
2023,donruss,10647,1134,824,310,32547
2023,elite,7793,1184,947,237,40879
2023,flawless,6480,2621,2158,463,24753
2023,"flawless collegiate",3055,1777,1453,324,15095
2023,"gold standard",5190,1547,1546,1,56243
2023,illusions,8276,1822,1780,42,76669
2023,"immaculate collection",5535,1297,1032,265,26716
2023,"immaculate collegiate",3284,2133,2105,28,46224
2023,impeccable,3740,2113,1951,162,33077
2023,legacy,7887,1491,1377,114,52649
2023,limited,4278,1762,1762,0,59903
2023,luminance,4490,1349,1010,339,44936
2023,mosaic,21734,2399,1680,719,55182
2023,"national treasures",12597,4503,3941,562,59929
2023,"national treasures collegiate",4777,3171,3059,112,62989
2023,obsidian,7480,2026,1791,235,51730
2023,one,1823,1563,1209,354,38311
2023,optic,13866,1768,1634,134,69433
2023,origins,5080,1347,1271,76,33316
2023,phoenix,13528,3016,2744,272,76585
2023,"plates and patches",3958,789,764,25,29549
